Zeit;EventTyp;VonZustand;ZuZustand;PatientId;ArztId;SchwesterId
-045.42;wartet_vor_oeffnung;;;1;;
000.00;betritt_klinik;;;1;;
000.00;geht_zur_rezeption;;;1;;
000.08;betritt_rezeption_warteschlange;;;1;;
000.08;rezeption_frei;;;1;;
000.08;betritt_rezeption;;;1;;
000.08;behandlung_nicht_fertig;;;1;;
000.08;startet_rezeption;;;1;;
000.31;beendet_rezeption;;;1;;
000.31;rezeption_ohne_termin;;;1;;
000.31;hat_keinen_termin;;;1;;
000.31;benoetigt_schwester_vorbereitung;;;1;;
000.31;schwester_frei;;;1;;
000.31;geht_zur_schwester;;;1;;
000.48;betritt_schwesterzimmer;;;1;;
000.48;startet_schwester_prozess;;;1;;1
007.85;betritt_klinik;;;2;;
007.85;geht_zur_rezeption;;;2;;
007.93;betritt_rezeption_warteschlange;;;2;;
007.93;rezeption_frei;;;2;;
007.93;betritt_rezeption;;;2;;
007.93;behandlung_nicht_fertig;;;2;;
007.93;startet_rezeption;;;2;;
008.71;beendet_rezeption;;;2;;
008.71;rezeption_hat_termin;;;2;;
008.71;hat_termin;;;2;;
008.71;keine_schwester_vorbereitung;;;2;;
008.71;ueberspringt_schwester;;;2;;
008.71;geht_ins_wartezimmer_fuer_arzt;;;2;;
008.88;betritt_wartezimmer_fuer_arzt;;;2;;
008.91;verlaesst_wartezimmer_fuer_arzt;;;2;;
008.91;geht_zum_arzt;;;2;;
009.07;betritt_arztzimmer;;;2;;
009.07;startet_arzt_behandlung;;;2;1;
009.71;betritt_klinik;;;3;;
009.71;geht_zur_rezeption;;;3;;
009.79;betritt_rezeption_warteschlange;;;3;;
009.79;rezeption_frei;;;3;;
009.79;betritt_rezeption;;;3;;
009.79;behandlung_nicht_fertig;;;3;;
009.79;startet_rezeption;;;3;;
010.06;beendet_schwester_prozess;;;1;;1
010.06;geht_ins_wartezimmer_fuer_arzt;;;1;;
010.22;betritt_wartezimmer_fuer_arzt;;;1;;
010.55;beendet_rezeption;;;3;;
010.55;rezeption_hat_termin;;;3;;
010.55;hat_termin;;;3;;
010.55;benoetigt_schwester_vorbereitung;;;3;;
010.55;schwester_frei;;;3;;
010.55;geht_zur_schwester;;;3;;
010.71;betritt_schwesterzimmer;;;3;;
010.71;startet_schwester_prozess;;;3;;2
013.66;beendet_schwester_prozess;;;3;;2
013.66;geht_ins_wartezimmer_fuer_arzt;;;3;;
013.82;betritt_wartezimmer_fuer_arzt;;;3;;
014.71;verlaesst_wartezimmer_fuer_arzt;;;3;;
014.71;geht_zum_arzt;;;3;;
014.87;betritt_arztzimmer;;;3;;
014.87;startet_arzt_behandlung;;;3;2;
015.08;beendet_arzt_behandlung;;;2;1;
015.08;geht_nach_arzt_zur_rezeption;;;2;;
015.25;betritt_rezeption_warteschlange;;;2;;
015.25;rezeption_frei;;;2;;
015.25;betritt_rezeption;;;2;;
015.25;behandlung_bereits_fertig;;;2;;
015.25;startet_rezeption;;;2;;
018.80;beendet_arzt_behandlung;;;3;2;
018.80;verlaesst_nach_arzt_ohne_rezeption;;;3;;
018.80;geht_zum_ausgang;;;3;;
019.05;verlaesst_klinik;;;3;;
019.24;beendet_rezeption;;;2;;
019.24;macht_folgetermin_aus_oder_rezept;;;2;;
019.24;geht_zum_ausgang;;;2;;
019.32;verlaesst_klinik;;;2;;
019.54;betritt_klinik;;;4;;
019.54;geht_zur_rezeption;;;4;;
019.63;betritt_rezeption_warteschlange;;;4;;
019.63;rezeption_frei;;;4;;
019.63;betritt_rezeption;;;4;;
019.63;behandlung_nicht_fertig;;;4;;
019.63;startet_rezeption;;;4;;
019.98;verlaesst_wartezimmer_fuer_arzt;;;1;;
019.98;geht_zum_arzt;;;1;;
020.15;betritt_arztzimmer;;;1;;
020.15;startet_arzt_behandlung;;;1;1;
021.72;beendet_rezeption;;;4;;
021.72;rezeption_ohne_termin;;;4;;
021.72;hat_keinen_termin;;;4;;
021.72;benoetigt_schwester_vorbereitung;;;4;;
021.72;schwester_frei;;;4;;
021.72;geht_zur_schwester;;;4;;
021.88;betritt_schwesterzimmer;;;4;;
021.88;startet_schwester_prozess;;;4;;1
023.97;beendet_schwester_prozess;;;4;;1
023.97;geht_ins_wartezimmer_fuer_arzt;;;4;;
024.14;betritt_wartezimmer_fuer_arzt;;;4;;
027.39;betritt_klinik;;;5;;
027.39;geht_zur_rezeption;;;5;;
027.48;betritt_rezeption_warteschlange;;;5;;
027.48;rezeption_frei;;;5;;
027.48;betritt_rezeption;;;5;;
027.48;behandlung_nicht_fertig;;;5;;
027.48;startet_rezeption;;;5;;
028.36;beendet_rezeption;;;5;;
028.36;rezeption_hat_termin;;;5;;
028.36;hat_termin;;;5;;
028.36;keine_schwester_vorbereitung;;;5;;
028.36;ueberspringt_schwester;;;5;;
028.36;geht_ins_wartezimmer_fuer_arzt;;;5;;
028.53;betritt_wartezimmer_fuer_arzt;;;5;;
040.02;betritt_klinik;;;6;;
040.02;geht_zur_rezeption;;;6;;
040.10;betritt_rezeption_warteschlange;;;6;;
040.10;rezeption_frei;;;6;;
040.10;betritt_rezeption;;;6;;
040.10;behandlung_nicht_fertig;;;6;;
040.10;startet_rezeption;;;6;;
040.63;beendet_arzt_behandlung;;;1;1;
040.63;geht_nach_arzt_zur_rezeption;;;1;;
040.63;verlaesst_wartezimmer_fuer_arzt;;;4;;
040.63;geht_zum_arzt;;;4;;
040.80;betritt_rezeption_warteschlange;;;1;;
040.80;rezeption_nicht_frei;;;1;;
040.80;wartet_in_rezeption_warteschlange;;;1;;
040.80;betritt_arztzimmer;;;4;;
040.80;startet_arzt_behandlung;;;4;1;
041.80;beendet_rezeption;;;6;;
041.80;rezeption_hat_termin;;;6;;
041.80;hat_termin;;;6;;
041.80;keine_schwester_vorbereitung;;;6;;
041.80;ueberspringt_schwester;;;6;;
041.80;geht_ins_wartezimmer_fuer_arzt;;;6;;
041.80;rezeption_frei;;;1;;
041.80;betritt_rezeption;;;1;;
041.80;behandlung_bereits_fertig;;;1;;
041.80;startet_rezeption;;;1;;
041.96;betritt_wartezimmer_fuer_arzt;;;6;;
042.59;beendet_rezeption;;;1;;
042.59;macht_folgetermin_aus_oder_rezept;;;1;;
042.59;geht_zum_ausgang;;;1;;
042.67;verlaesst_klinik;;;1;;
042.92;betritt_klinik;;;7;;
042.92;geht_zur_rezeption;;;7;;
043.00;betritt_rezeption_warteschlange;;;7;;
043.00;rezeption_frei;;;7;;
043.00;betritt_rezeption;;;7;;
043.00;behandlung_nicht_fertig;;;7;;
043.00;startet_rezeption;;;7;;
043.73;beendet_rezeption;;;7;;
043.73;rezeption_ohne_termin;;;7;;
043.73;hat_keinen_termin;;;7;;
043.73;benoetigt_schwester_vorbereitung;;;7;;
043.73;schwester_frei;;;7;;
043.73;geht_zur_schwester;;;7;;
043.89;betritt_schwesterzimmer;;;7;;
043.89;startet_schwester_prozess;;;7;;2
045.70;beendet_arzt_behandlung;;;4;1;
045.70;geht_nach_arzt_zur_rezeption;;;4;;
045.70;verlaesst_wartezimmer_fuer_arzt;;;5;;
045.70;geht_zum_arzt;;;5;;
045.87;betritt_rezeption_warteschlange;;;4;;
045.87;rezeption_frei;;;4;;
045.87;betritt_arztzimmer;;;5;;
045.87;startet_arzt_behandlung;;;5;1;
045.87;betritt_rezeption;;;4;;
045.87;behandlung_bereits_fertig;;;4;;
045.87;startet_rezeption;;;4;;
045.90;betritt_klinik;;;8;;
045.90;geht_zur_rezeption;;;8;;
045.99;betritt_rezeption_warteschlange;;;8;;
045.99;rezeption_nicht_frei;;;8;;
045.99;wartet_in_rezeption_warteschlange;;;8;;
047.46;beendet_rezeption;;;4;;
047.46;macht_folgetermin_aus_oder_rezept;;;4;;
047.46;geht_zum_ausgang;;;4;;
047.46;rezeption_frei;;;8;;
047.46;betritt_rezeption;;;8;;
047.46;behandlung_nicht_fertig;;;8;;
047.46;startet_rezeption;;;8;;
047.54;verlaesst_klinik;;;4;;
047.76;beendet_rezeption;;;8;;
047.76;rezeption_hat_termin;;;8;;
047.76;hat_termin;;;8;;
047.76;benoetigt_schwester_vorbereitung;;;8;;
047.76;schwester_frei;;;8;;
047.76;geht_zur_schwester;;;8;;
047.93;betritt_schwesterzimmer;;;8;;
050.43;beendet_schwester_prozess;;;7;;2
050.43;geht_ins_wartezimmer_fuer_arzt;;;7;;
050.43;startet_schwester_prozess;;;8;;2
050.60;betritt_wartezimmer_fuer_arzt;;;7;;
053.85;beendet_arzt_behandlung;;;5;1;
053.85;geht_nach_arzt_zur_rezeption;;;5;;
053.85;verlaesst_wartezimmer_fuer_arzt;;;6;;
053.85;geht_zum_arzt;;;6;;
054.02;betritt_rezeption_warteschlange;;;5;;
054.02;rezeption_frei;;;5;;
054.02;betritt_arztzimmer;;;6;;
054.02;startet_arzt_behandlung;;;6;1;
054.02;betritt_rezeption;;;5;;
054.02;behandlung_bereits_fertig;;;5;;
054.02;startet_rezeption;;;5;;
055.47;beendet_rezeption;;;5;;
055.47;macht_folgetermin_aus_oder_rezept;;;5;;
055.47;geht_zum_ausgang;;;5;;
055.55;verlaesst_klinik;;;5;;
058.96;beendet_schwester_prozess;;;8;;2
058.96;geht_ins_wartezimmer_fuer_arzt;;;8;;
059.12;betritt_wartezimmer_fuer_arzt;;;8;;
059.56;beendet_arzt_behandlung;;;6;1;
059.56;geht_nach_arzt_zur_rezeption;;;6;;
059.56;verlaesst_wartezimmer_fuer_arzt;;;7;;
059.56;geht_zum_arzt;;;7;;
059.72;betritt_rezeption_warteschlange;;;6;;
059.72;rezeption_frei;;;6;;
059.72;betritt_arztzimmer;;;7;;
059.72;startet_arzt_behandlung;;;7;1;
059.72;betritt_rezeption;;;6;;
059.72;behandlung_bereits_fertig;;;6;;
059.72;startet_rezeption;;;6;;
059.79;verlaesst_wartezimmer_fuer_arzt;;;8;;
059.79;geht_zum_arzt;;;8;;
059.96;betritt_arztzimmer;;;8;;
059.96;startet_arzt_behandlung;;;8;2;
061.26;beendet_rezeption;;;6;;
061.26;macht_folgetermin_aus_oder_rezept;;;6;;
061.26;geht_zum_ausgang;;;6;;
061.35;verlaesst_klinik;;;6;;
064.89;beendet_arzt_behandlung;;;7;1;
064.89;geht_nach_arzt_zur_rezeption;;;7;;
065.05;betritt_rezeption_warteschlange;;;7;;
065.05;rezeption_frei;;;7;;
065.05;betritt_rezeption;;;7;;
065.05;behandlung_bereits_fertig;;;7;;
065.05;startet_rezeption;;;7;;
065.16;beendet_rezeption;;;7;;
